ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777892147.652,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,40.4,2240.4,98.2,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892150.907,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,60.14,2260.14,97.34,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892157.623,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,22.28,2222.28,99.0,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892160.283,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,82.58,2282.58,96.38,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892162.837,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,15.99,2215.99,99.28,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892165.499,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,2665.91,4865.91,45.21,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892173.36,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,129.8,2329.8,94.43,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892177.689,adaptive,det,iphone,"Person left, 2.8 meters.",4,info,10.97,2210.97,99.5,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892184.52,adaptive,det,iphone,"Person left, 2.3 meters.",4,info,17.07,2217.07,99.23,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892187.031,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,17.29,2217.29,99.22,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892193.711,adaptive,det,iphone,"Woman left, 2.0 meters.",4,info,39.13,2239.13,98.25,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892199.052,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,14.31,2214.31,99.35,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892200.536,adaptive,det,iphone,"Person left, 2.6 meters.",4,info,145.09,2345.09,93.81,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892203.483,adaptive,det,iphone,"Houseplant ahead, 2.6 meters.",4,info,446.37,2646.37,83.13,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892207.488,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,19.57,2219.57,99.12,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777892210.674,adaptive,det,iphone,"Houseplant ahead, 2.0 meters.",4,info,35.31,2235.31,98.42,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
